#instrument=ARROW,
#ra=286.0954,
#dec=6.2872,
#alt=NaN,
#az=NaN,
#tracking=true,
#startTime=1477310580,
#startTimeUTC=2019-10-24T12:03:00.566Z,
#user=is4555,
#fullScan=true,
#completeTime=1477310680,
#completeTimeUTC=2016-10-24T12:04:40.937Z,
frequency,intensity
-800000,2.708
-795000,2.498
-790000,2.463
-785000,2.439
-780000,2.405
-775000,2.402
-770000,2.402
-765000,2.473
-760000,2.48
-755000,2.461
-750000,2.461
-745000,2.466
-740000,2.478
-735000,2.495
-730000,2.49
-725000,2.5
-720000,2.507
-715000,2.48
-710000,2.498
-705000,2.437
-700000,2.5
-695000,2.507
-690000,2.52
-685000,2.485
-680000,2.461
-675000,2.48
-670000,2.488
-665000,2.5
-660000,2.507
-655000,2.51
-650000,2.49
-645000,2.568
-640000,2.505
-635000,2.517
-630000,2.52
-625000,2.542
-620000,2.534
-615000,2.551
-610000,2.556
-605000,2.566
-600000,2.507
-595000,2.559
-590000,2.568
-585000,2.549
-580000,2.571
-575000,2.576
-570000,2.573
-565000,2.632
-560000,2.578
-555000,2.593
-550000,2.625
-545000,2.578
-540000,2.581
-535000,2.62
-530000,2.654
-525000,2.598
-520000,2.563
-515000,2.605
-510000,2.617
-505000,2.578
-500000,2.617
-495000,2.607
-490000,2.617
-485000,2.595
-480000,2.627
-475000,2.644
-470000,2.637
-465000,2.654
-460000,2.62
-455000,2.634
-450000,2.659
-445000,2.656
-440000,2.686
-435000,2.703
-430000,2.698
-425000,2.676
-420000,2.673
-415000,2.686
-410000,2.673
-405000,2.693
-400000,2.708
-395000,2.703
-390000,2.754
-385000,2.749
-380000,2.749
-375000,2.734
-370000,2.712
-365000,2.717
-360000,2.759
-355000,2.742
-350000,2.744
-345000,2.798
-340000,2.747
-335000,2.791
-330000,2.764
-325000,2.742
-320000,2.803
-315000,2.744
-310000,2.813
-305000,2.813
-300000,2.822
-295000,2.891
-290000,2.8
-285000,2.856
-280000,2.861
-275000,2.925
-270000,2.939
-265000,2.9
-260000,2.937
-255000,3.025
-250000,3.02
-245000,3.018
-240000,3.115
-235000,3.135
-230000,3.086
-225000,3.191
-220000,3.276
-215000,3.279
-210000,3.289
-205000,3.372
-200000,3.442
-195000,3.457
-190000,3.455
-185000,3.445
-180000,3.428
-175000,3.594
-170000,3.579
-165000,3.584
-160000,3.572
-155000,3.599
-150000,3.652
-145000,3.562
-140000,3.564
-135000,3.591
-130000,3.672
-125000,3.606
-120000,3.596
-115000,3.552
-110000,3.591
-105000,3.55
-100000,3.464
-95000,3.494
-90000,3.567
-85000,3.604
-80000,3.633
-75000,3.726
-70000,3.772
-65000,3.733
-60000,3.828
-55000,3.906
-50000,3.936
-45000,3.884
-40000,3.894
-35000,3.979
-30000,3.911
-25000,3.982
-20000,3.906
-15000,3.921
-10000,3.894
-5000,3.865
0,3.899
5000,3.882
10000,3.804
15000,3.831
20000,3.777
25000,3.86
30000,3.806
35000,3.818
40000,3.872
45000,3.887
50000,3.826
55000,3.823
60000,3.813
65000,3.892
70000,3.826
75000,3.843
80000,3.867
85000,3.906
90000,3.901
95000,3.962
100000,4.026
105000,3.892
110000,3.777
115000,3.74
120000,3.689
125000,3.604
130000,3.486
135000,3.428
140000,3.281
145000,3.274
150000,3.271
155000,3.264
160000,3.25
165000,3.218
170000,3.25
175000,3.203
180000,3.191
185000,3.206
190000,3.279
195000,3.274
200000,3.262
205000,3.318
210000,3.323
215000,3.318
220000,3.357
225000,3.337
230000,3.369
235000,3.362
240000,3.386
245000,3.433
250000,3.406
255000,3.379
260000,3.477
265000,3.486
270000,3.438
275000,3.511
280000,3.499
285000,3.621
290000,3.594
295000,3.574
300000,3.594
305000,3.562
310000,3.555
315000,3.591
320000,3.65
325000,3.633
330000,3.579
335000,3.555
340000,3.555
345000,3.516
350000,3.584
355000,3.567
360000,3.567
365000,3.545
370000,3.616
375000,3.589
380000,3.608
385000,3.601
390000,3.613
395000,3.679
400000,3.657
405000,3.606
410000,3.647
415000,3.545
420000,3.457
425000,3.428
430000,3.406
435000,3.401
440000,3.35
445000,3.33
450000,3.325
455000,3.311
460000,3.293
465000,3.276
470000,3.247
475000,3.281
480000,3.179
485000,3.213
490000,3.196
495000,3.223
500000,3.269
505000,3.188
510000,3.23
515000,3.174
520000,3.203
525000,3.171
530000,3.167
535000,3.213
540000,3.193
545000,3.174
550000,3.225
555000,3.257
560000,3.301
565000,3.22
570000,3.252
575000,3.193
580000,3.154
585000,3.184
590000,3.184
595000,3.167
600000,3.191
605000,3.203
610000,3.242
615000,3.23
620000,3.223
625000,3.232
630000,3.289
635000,3.318
640000,3.286
645000,3.235
650000,3.25
655000,3.162
660000,3.232
665000,3.25
670000,3.271
675000,3.269
680000,3.24
685000,3.25
690000,3.245
695000,3.191
700000,3.201
705000,3.201
710000,3.242
715000,3.225
720000,3.215
725000,3.315
730000,3.262
735000,3.271
740000,3.213
745000,3.228
750000,3.242
755000,3.252
760000,3.301
765000,3.293
770000,3.328
775000,3.208
780000,3.301
785000,3.247
790000,3.259
795000,3.291
800000,3.281
805000,3.301
810000,3.323
815000,3.311
820000,3.289
825000,3.247
830000,3.33
835000,3.359
840000,3.362
845000,3.269
850000,3.289
855000,3.276
860000,3.252
865000,3.276
870000,3.354
875000,3.269
880000,3.311
885000,3.291
890000,3.33
895000,3.342
900000,3.289
905000,3.281
910000,3.291
915000,3.306
920000,3.318
925000,3.345
930000,3.303
935000,3.34
940000,3.291
945000,3.374
950000,3.33
955000,3.335
960000,3.323
965000,3.359
970000,3.337
975000,3.35
980000,3.391
985000,3.33
990000,3.359
995000,3.301
1000000,3.32
1005000,3.359
1010000,3.379
1015000,3.357
1020000,3.374
1025000,3.345
1030000,3.364
1035000,3.35
1040000,3.396
1045000,3.396
1050000,3.342
1055000,3.323
1060000,3.342
1065000,3.34
1070000,3.367
1075000,3.398
1080000,3.318
1085000,3.364
1090000,3.345
1095000,3.435
1100000,3.389
1105000,3.406
1110000,3.464
1115000,3.411
1120000,3.408
1125000,3.396
1130000,3.357
1135000,3.391
1140000,3.406
1145000,3.35
1150000,3.379
1155000,3.408
1160000,3.408
1165000,3.386
1170000,3.435
1175000,3.396
1180000,3.369
1185000,3.442
1190000,3.374
1195000,3.369
1200000,3.379
1205000,3.411
1210000,3.389
1215000,3.416
1220000,3.43
1225000,3.418
1230000,3.447
1235000,3.408
1240000,3.347
1245000,3.428
1250000,3.416
1255000,3.379
1260000,3.477
1265000,3.455
1270000,3.389
1275000,3.423
1280000,3.503
1285000,3.467
1290000,3.42
1295000,3.425
1300000,3.464
