#instrument=ARROW,
#ra=7.7317588,
#dec=-23.8903819,
#alt=NaN,
#az=NaN,
#tracking=true,
#startTime=1477310580,
#startTimeUTC=2014-06-21T12:15:00.566Z,
#user=is4555,
#fullScan=true,
#completeTime=1477310680,
#completeTimeUTC=2016-10-24T12:04:40.937Z,
frequency,intensity
-800000,2.788
-795000,2.48
-790000,2.451
-785000,2.5
-780000,2.468
-775000,2.449
-770000,2.451
-765000,2.432
-760000,2.48
-755000,2.471
-750000,2.51
-745000,2.473
-740000,2.463
-735000,2.466
-730000,2.461
-725000,2.498
-720000,2.549
-715000,2.549
-710000,2.483
-705000,2.441
-700000,2.461
-695000,2.537
-690000,2.51
-685000,2.5
-680000,2.559
-675000,2.517
-670000,2.539
-665000,2.566
-660000,2.556
-655000,2.549
-650000,2.537
-645000,2.546
-640000,2.539
-635000,2.625
-630000,2.622
-625000,2.568
-620000,2.588
-615000,2.537
-610000,2.625
-605000,2.632
-600000,2.6
-595000,2.656
-590000,2.676
-585000,2.722
-580000,2.791
-575000,2.744
-570000,2.754
-565000,2.781
-560000,2.773
-555000,2.827
-550000,2.852
-545000,2.891
-540000,2.834
-535000,2.874
-530000,2.91
-525000,2.871
-520000,2.954
-515000,2.917
-510000,2.939
-505000,2.917
-500000,2.957
-495000,2.993
-490000,2.961
-485000,2.981
-480000,3.018
-475000,3.008
-470000,3.042
-465000,3.118
-460000,3.135
-455000,3.083
-450000,3.113
-445000,3.081
-440000,3.096
-435000,3.145
-430000,3.145
-425000,3.152
-420000,3.103
-415000,3.096
-410000,3.042
-405000,3.049
-400000,3.01
-395000,2.959
-390000,2.932
-385000,2.959
-380000,2.891
-375000,2.842
-370000,2.874
-365000,2.842
-360000,2.874
-355000,2.832
-350000,2.822
-345000,2.803
-340000,2.754
-335000,2.793
-330000,2.8
-325000,2.769
-320000,2.795
-315000,2.771
-310000,2.776
-305000,2.786
-300000,2.773
-295000,2.839
-290000,2.881
-285000,2.947
-280000,2.964
-275000,3.044
-270000,3.113
-265000,3.152
-260000,3.289
-255000,3.452
-250000,3.467
-245000,3.516
-240000,3.489
-235000,3.513
-230000,3.464
-225000,3.384
-220000,3.333
-215000,3.303
-210000,3.142
-205000,3.174
-200000,3.008
-195000,3.015
-190000,2.988
-185000,2.959
-180000,2.988
-175000,2.974
-170000,2.991
-165000,2.976
-160000,2.937
-155000,3.008
-150000,2.981
-145000,3.066
-140000,3.059
-135000,3.086
-130000,3.015
-125000,3.037
-120000,3.027
-115000,2.961
-110000,2.891
-105000,2.898
