#instrument=ARROW,
#ra=308.9712,
#dec=40.6636,
#alt=NaN,
#az=NaN,
#tracking=true,
#startTime=1477310580,
#startTimeUTC=2019-10-24T13:05:00.566Z,
#user=is4555,
#fullScan=true,
#completeTime=1477310680,
#completeTimeUTC=2016-10-24T12:04:40.937Z,
frequency,intensity
-800000,2.367
-795000,2.398
-790000,2.396
-785000,2.374
-780000,2.39
-775000,2.375
-770000,2.365
-765000,2.401
-760000,2.371
-755000,2.41
-750000,2.384
-745000,2.389
-740000,2.421
-735000,2.413
-730000,2.413
-725000,2.392
-720000,2.406
-715000,2.432
-710000,2.42
-705000,2.435
-700000,2.413
-695000,2.432
-690000,2.419
-685000,2.407
-680000,2.429
-675000,2.447
-670000,2.43
-665000,2.428
-660000,2.426
-655000,2.426
-650000,2.467
-645000,2.472
-640000,2.433
-635000,2.446
-630000,2.445
-625000,2.458
-620000,2.478
-615000,2.441
-610000,2.469
-605000,2.494
-600000,2.459
-595000,2.48
-590000,2.478
-585000,2.48
-580000,2.476
-575000,2.467
-570000,2.508
-565000,2.464
-560000,2.479
-555000,2.502
-550000,2.504
-545000,2.487
-540000,2.517
-535000,2.519
-530000,2.499
-525000,2.53
-520000,2.493
-515000,2.503
-510000,2.507
-505000,2.514
-500000,2.53
-495000,2.544
-490000,2.517
-485000,2.553
-480000,2.536
-475000,2.532
-470000,2.542
-465000,2.524
-460000,2.54
-455000,2.561
-450000,2.532
-445000,2.564
-440000,2.552
-435000,2.559
-430000,2.565
-425000,2.565
-420000,2.538
-415000,2.566
-410000,2.544
-405000,2.587
-400000,2.572
-395000,2.551
-390000,2.568
-385000,2.603
-380000,2.564
-375000,2.604
-370000,2.593
-365000,2.572
-360000,2.582
-355000,2.58
-350000,2.571
-345000,2.59
-340000,2.613
-335000,2.59
-330000,2.626
-325000,2.613
-320000,2.59
-315000,2.632
-310000,2.634
-305000,2.63
-300000,2.6
-295000,2.618
-290000,2.628
-285000,2.618
-280000,2.636
-275000,2.617
-270000,2.632
-265000,2.632
-260000,2.644
-255000,2.634
-250000,2.634
-245000,2.671
-240000,2.631
-235000,2.634
-230000,2.674
-225000,2.669
-220000,2.651
-215000,2.654
-210000,2.663
-205000,2.686
-200000,2.663
-195000,2.677
-190000,2.68
-185000,2.657
-180000,2.684
-175000,2.699
-170000,2.677
-165000,2.697
-160000,2.672
-155000,2.694
-150000,2.719
-145000,2.722
-140000,2.687
-135000,2.708
-130000,2.697
-125000,2.721
-120000,2.706
-115000,2.707
-110000,2.731
-105000,2.722
-100000,2.722
-95000,2.713
-90000,2.742
-85000,2.726
-80000,2.71
-75000,2.71
-70000,2.725
-65000,2.729
-60000,2.733
-55000,2.726
-50000,2.738
-45000,2.767
-40000,2.745
-35000,2.735
-30000,2.73
-25000,2.78
-20000,2.744
-15000,2.781
-10000,2.766
-5000,2.767
0,2.776
5000,2.794
10000,2.761
15000,2.792
20000,2.775
25000,2.8
30000,2.807
35000,2.8
40000,2.782
45000,2.777
50000,2.817
55000,2.792
60000,2.793
65000,2.776
70000,2.796
75000,2.811
80000,2.8
85000,2.796
90000,2.834
95000,2.8
100000,2.815
105000,2.836
110000,2.837
115000,2.83
120000,2.822
125000,2.832
130000,2.814
135000,2.844
140000,2.859
145000,2.833
150000,2.865
155000,2.822
160000,2.839
165000,2.839
170000,2.858
175000,2.87
180000,2.848
185000,2.852
190000,2.867
195000,2.846
200000,2.871
205000,2.895
210000,2.874
215000,2.885
220000,2.862
225000,2.904
230000,2.864
235000,2.885
240000,2.874
245000,2.901
250000,2.874
255000,2.879
260000,2.883
265000,2.884
270000,2.886
275000,2.903
280000,2.895
285000,2.924
290000,2.93
295000,2.923
300000,2.931
305000,2.905
310000,2.909
315000,2.918
320000,2.903
325000,2.915
330000,2.94
335000,2.959
340000,2.95
345000,2.959
350000,2.93
355000,2.968
360000,2.939
365000,2.962
370000,2.949
375000,2.976
380000,2.952
385000,2.975
390000,2.984
395000,2.94
400000,2.978
405000,2.955
410000,2.975
415000,2.969
420000,2.969
425000,2.983
430000,2.968
435000,2.983
440000,2.964
445000,2.976
450000,2.983
455000,2.971
460000,3.011
465000,2.979
470000,2.995
475000,2.993
480000,3.018
485000,3.008
490000,2.995
495000,3.031
500000,3.025
505000,3.019
510000,3.045
515000,3.004
520000,3.021
525000,3.05
530000,3.049
535000,3.048
540000,3.037
545000,3.043
550000,3.04
555000,3.02
560000,3.037
565000,3.049
570000,3.042
575000,3.072
580000,3.068
585000,3.077
590000,3.069
595000,3.083
600000,3.082
605000,3.078
610000,3.095
615000,3.066
620000,3.057
625000,3.078
630000,3.091
635000,3.104
640000,3.085
645000,3.096
650000,3.103
655000,3.075
660000,3.117
665000,3.115
670000,3.087
675000,3.111
680000,3.088
685000,3.085
690000,3.099
695000,3.123
700000,3.118
705000,3.127
710000,3.102
715000,3.128
720000,3.13
725000,3.111
730000,3.123
735000,3.132
740000,3.127
745000,3.138
750000,3.138
755000,3.146
760000,3.166
765000,3.169
770000,3.15
775000,3.151
780000,3.149
785000,3.16
790000,3.176
795000,3.185
800000,3.182
805000,3.157
810000,3.185
815000,3.178
820000,3.162
825000,3.202
830000,3.168
835000,3.203
840000,3.206
845000,3.166
850000,3.172
855000,3.182
860000,3.2
865000,3.181
870000,3.201
875000,3.204
880000,3.213
885000,3.196
890000,3.197
895000,3.2
900000,3.2
905000,3.218
910000,3.228
915000,3.231
920000,3.232
925000,3.229
930000,3.226
935000,3.216
940000,3.241
945000,3.228
950000,3.225
955000,3.221
960000,3.224
965000,3.269
970000,3.273
975000,3.236
980000,3.247
985000,3.242
990000,3.269
995000,3.262
1000000,3.259
1005000,3.288
1010000,3.283
1015000,3.249
1020000,3.257
1025000,3.259
1030000,3.269
